,name,Mw (g/mol),Mn (g/mol),PDI,Regioregularity R%,DP,SANS,SAXS/GWAXS,DLS,SLS,SEC (GPC),Dark/light,Applied Electrical Field (Kv/cm),Duration of Applied Electrical Field (min),DLS Angle (deg),Concentration (mg/ml),Temperature SANS/SLS/DLS/SEC (K),Aging time (hour),To Aging Temperature (K),Stirring /sonication/heating time(min),Sonication time (min),Sonication/Stirring/heating Temperature (K),storage temperature (K),Storage time (hour),Solvent(s),Deuterated solvent,Solid additive,Solid additive quantity (mg/ml),Solvent solubility parameter (Hansen),Polymer solubility parameter ,Polymer solubility parameter 𝛿d [MPa1/2],Polymer solubility parameter  𝛿p [MPa1/2],Polymer solubility parameter 𝛿h [MPa1/2],Rh1 (nm),I1 (Normalized 1-0),Rh2 (nm),I2 (Normalized 1-0),Rh3 (nm),I3 (Normalized 1-0),Rh4 (nm),I4 (Normalized 1-0),Rh deviation (nm) ±,Rg1 (nm),Rg2 (nm),Rg 1deviation (nm) ±,"Rcs,g (crossectional radius) (nm)","Rcs,g (crossectional radius) (nm) ±","Rt,g (radius of gyration) (nm)",Ree (chain end-to-end distance) (nm),Ree deviation (nm) ±,A2 (mol dm3/g^2),df,α1 ,q1 range (A-1),α2 ,q2 range (A-1),Lp (nm),Lp deviation (nm) ±,Lc (nm),Lc deviation (nm) ±,ξs (characteristic length scale) (nm),ξs deviation (nm) ±,ξd (mesh size of the dynamic network) (nm),ξd deviation (nm) ±,R disk (nm),R cylinder (nm),R deviation (nm) ±,R core cylinder (nm),L cylinder (nm),L deviation (nm) ±,t (thinkness) (nm),t (thinkness) (nm) ±,A parallelepiped (thickness)(nm),A deviation (nm) ±,B parallelepiped (width)(nm),B deviation (nm) ±,C parallelepiped (length)(nm),C deviation (nm) ±,Light scattering model,SANS/SAXS model,Expected Conformation,Additional notes 1,Additional notes 2,Doi
0,MEH-PPV,611000.0,,,,2350,0,0,1.0,1,0.0,,,,,0.1,,,,,,,,,pXyl,0.0,,,,,,,,35.9,,,,,,,,,52.4,,,,,,,,1.9e-07,68.9,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,cumulants,Kratky-Perod,,30-150 degree of sls,,https://doi.org/10.1063/1.468438
1,BEH-PPV,306000.0,,,,854,0,0,1.0,1,0.0,,,,,0.1,,,,,,,,,pXyl,0.0,,,,,,,,19.8,,,,,,,,,42.1,,,,,,,,3.1e-07,64.4,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,cumulants,Kratky-Perod,,,,https://doi.org/10.1063/1.468438
2,BCHA-PPV,920000.0,,,,1055,0,0,1.0,1,0.0,,,,,0.1,,,,,,,,,pXyl,0.0,,,,,,,,33.7,,,,,,,,,92.1,,,,,,,,1.1e-07,150.5,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,cumulants,Kratky-Perod,,,,https://doi.org/10.1063/1.468438
3,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,303.0,,,,,,,,97:3 vol% Tol-EtOH,0.0,,,,,,,,60.92,1.0,8.0,0.82,,,,,,52.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
4,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,303.0,,,,,,,,94:6 vol% Tol-EtOH,0.0,,,,,,,,110.77,1.0,6.71,0.3,,,,,,66.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
5,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,303.0,,,,,,,,89:11 vol% Tol-EtOH,0.0,,,,,,,,149.54,1.0,8.46,0.15,,,,,,85.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
6,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,303.0,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,224.31,1.0,,,,,,,,135.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
7,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,303.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,877.85,1.0,70.0,0.05,,,,,,132.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
8,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,303.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,878.0,1.0,70.0,0.07,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
9,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,308.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,838.0,1.0,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
10,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,313.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,802.0,1.0,200.0,0.56,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
11,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,318.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,781.0,,,,,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
12,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,323.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,770.0,1.0,155.27,0.25,,,,,,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
13,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,328.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,613.0,1.0,100.0,0.11,,,,,,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
14,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,331.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,382.0,1.0,,,,,,,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
15,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,333.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,369.0,1.0,71.37,0.25,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
16,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,335.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,255.0,1.0,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
17,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,338.0,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,195.0,1.0,30.0,0.05,,,,,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
18,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,303.0,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,226.0,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
19,PFO,46000.0,,,,,0,0,1.0,1,0.0,,,,40,0.05,308.0,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,224.0,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B
